Model,Test,Few(n),n,Prompt,r,s,ex_selector,bleu,sari_add,sari_keep,sari_del,sari,fkgl,pbert_ref,rbert_ref,F1_bert_ref,pbert_src,rbert_src,F1_bert_src,ppl_mean,ppl_std,LENS,LENS_std,intra_dist1,intra_dist2,inter_dist1,inter_dist2,c_ratio,splits,lev_sim,copies,adds,deletes,lex_complexity
flan-t5-large,news-manual-all-test,news-manual-all-val,3,p0,1,287,random,54.3978,3.2995,58.9289,47.6795,36.636,7.3628,75.479,63.6008,68.9875,81.9044,65.6625,73.5944,104.5802,118.9079,61.7403,15.8726,93.729,99.5397,34.0215,84.4184,0.7556,1.0531,0.7866,0.1289,0.0785,0.3192,8.5914
flan-t5-large,news-manual-all-test,news-manual-all-val,3,p0,1,489,random,56.9734,3.9618,61.003,49.826,38.2636,7.0296,76.0483,65.3706,70.1364,81.9019,66.4526,74.011,105.1365,98.7056,63.0243,15.6525,93.6155,99.3765,34.1521,84.5159,0.7671,1.1202,0.7899,0.1328,0.0871,0.3177,8.671
flan-t5-large,news-manual-all-test,news-manual-all-val,3,p0,1,723,random,56.4947,2.7015,60.1328,48.2315,37.022,7.452,76.2288,64.4816,69.7221,82.8167,65.9452,74.1737,103.5798,95.0921,62.8246,14.5117,93.9299,99.329,34.2231,84.5928,0.7758,1.0457,0.7895,0.1406,0.0891,0.3156,8.5791
flan-t5-large,news-manual-all-test,news-manual-all-val,3,p1,1,287,random,54.7351,3.2823,60.6469,50.8854,38.2715,7.0364,74.1958,64.3063,68.5628,80.7042,65.8516,73.1365,101.8825,118.5591,61.9755,15.3906,93.3451,99.4306,33.147,83.5192,0.7841,1.1312,0.7851,0.0586,0.1082,0.3181,8.6013
flan-t5-large,news-manual-all-test,news-manual-all-val,3,p1,1,489,random,55.5473,3.618,61.2829,51.598,38.833,7.0913,75.8703,65.7518,70.2823,81.7093,66.5866,73.9808,97.6602,93.6471,63.3633,14.6492,93.7276,99.5656,33.5473,83.5858,0.7817,1.1217,0.7908,0.0898,0.0962,0.3105,8.649
flan-t5-large,news-manual-all-test,news-manual-all-val,3,p1,1,723,random,52.9156,3.7524,59.5544,54.7521,39.353,6.9744,74.8719,62.3989,67.93,79.4093,61.8785,70.4671,101.2379,94.7849,62.8908,15.5678,94.2836,99.5957,33.8923,83.9965,0.734,1.0792,0.7631,0.0938,0.0925,0.3546,8.5884
flan-t5-large,news-manual-all-test,news-manual-all-val,3,p2,1,287,random,54.5881,4.49,61.8575,52.3646,39.5707,6.8441,73.5685,67.0365,69.7941,79.3852,68.2938,73.7692,88.3518,74.1957,63.5119,14.828,91.9379,99.366,31.7562,82.7362,0.8381,1.2595,0.7948,0.0703,0.1351,0.2908,8.5614
flan-t5-large,news-manual-all-test,news-manual-all-val,3,p2,1,489,random,55.7454,4.484,62.1919,49.9464,38.8741,6.9648,74.5778,68.1408,70.8225,80.4958,70.7293,75.5564,99.1973,109.5462,62.2232,14.3903,91.6385,99.3481,31.2608,82.1441,0.8553,1.249,0.8129,0.0742,0.1349,0.2675,8.6041
flan-t5-large,news-manual-all-test,news-manual-all-val,3,p2,1,723,random,55.281,4.2502,61.8195,50.2925,38.7874,6.9013,74.098,67.1684,70.1844,80.1462,69.0177,74.5064,95.8971,96.0223,62.3679,16.1007,91.9202,99.3284,31.9247,82.2545,0.8364,1.2205,0.7961,0.0898,0.1303,0.2881,8.6557
flan-t5-small,asset-test,asset-valid,3,p0,1,287,random,82.4345,2.5801,59.9472,41.8309,34.786,8.5666,84.2426,82.9046,82.652,88.5098,81.4489,84.9204,114.0159,114.5102,56.167,17.3426,91.6417,98.8801,40.2045,86.361,0.8909,1.046,0.8952,0.2869,0.0598,0.1622,8.5188
flan-t5-small,asset-test,asset-valid,3,p0,1,489,random,82.9348,2.7974,60.5105,41.8706,35.0595,8.7554,85.113,84.1831,83.7159,89.1083,81.9477,85.4679,117.7611,138.5972,57.2558,16.9936,91.8486,98.6601,39.9171,86.1648,0.8991,1.0462,0.8997,0.2563,0.0623,0.1586,8.5284
flan-t5-small,asset-test,asset-valid,3,p0,1,723,random,83.71,2.3341,60.4609,41.511,34.7687,8.6559,84.7296,83.1462,83.0079,88.6786,80.9707,84.7503,116.2585,131.6142,57.4744,16.0166,91.9365,98.9368,40.1234,86.6253,0.8859,1.0367,0.8942,0.2925,0.0544,0.1615,8.5282
flan-t5-small,asset-test,asset-valid,3,p1,1,287,random,81.2489,2.3456,59.8047,41.3033,34.4846,8.3443,82.766,81.7039,81.3111,86.622,79.4961,82.9996,111.8057,114.0629,57.1337,16.7305,91.2818,98.6816,40.1299,86.5262,0.9052,1.104,0.8884,0.2953,0.0771,0.1661,8.4895
flan-t5-small,asset-test,asset-valid,3,p1,1,489,random,81.3632,2.3351,59.9102,41.8347,34.6933,8.6305,82.4665,81.4561,80.9615,86.1156,79.0653,82.5341,125.3098,169.5331,55.5905,17.7365,91.4946,98.8701,39.9281,86.4318,0.897,1.0655,0.8872,0.273,0.0784,0.1767,8.5463
